	Item	Quantity	Expiration_Date	Cost_Per_Unit	Date
1	Milk Bread	228	2025-01-29	20	2025-01-22
2	Brown Bread	203	2025-01-30	20	2025-01-22
3	Multigrain Bread	161	2025-02-04	20	2025-01-22
4	Pav Bun	322	2025-02-01	20	2025-01-22
5	Plain Cake	147	2025-02-03	150	2025-01-22
6	Chilli Sauce	237	2025-02-22	10	2025-01-22
7	Rasgulla	434	2025-01-24	35	2025-01-22
8	Jalebi	139	2025-01-24	35	2025-01-22
9	Soy Sauce	192	2025-03-07	10	2025-01-22
10	Water	216	2025-03-10	10	2025-01-22
11	Chocolate Cake	224	2025-02-03	150	2025-01-22
12	Vanilla Cake	181	2025-01-31	150	2025-01-22
13	Black Forest Cake	458	2025-01-31	150	2025-01-22
14	Pineapple Cake	273	2025-02-05	150	2025-01-22
15	Red Velvet Cake	114	2025-02-05	150	2025-01-22
16	Milk	70	2025-01-25	45	2025-01-22
17	Curd	409	2025-01-25	45	2025-01-22
18	Paneer	476	2025-01-23	45	2025-01-22
19	Butter	395	2025-01-24	45	2025-01-22
20	Cheese	434	2025-01-24	45	2025-01-22
21	Samosa	379	2025-02-05	15	2025-01-22
22	Kachori	276	2025-02-03	15	2025-01-22
23	Dhokla	114	2025-02-05	15	2025-01-22
24	Vada Pav	142	2025-01-31	15	2025-01-22
25	Pani Puri	242	2025-01-29	15	2025-01-22
26	Cookies	165	2025-01-31	10	2025-01-22
27	Masala Puri	426	2025-02-05	15	2025-01-22
28	Samosa Chaat	275	2025-02-02	15	2025-01-22
29	Small Mixture	271	2025-02-03	10	2025-01-22
30	Tomato Ketchup	219	2025-03-14	10	2025-01-22
31	Milk Bread	235	2025-02-05	20	2025-01-23
32	Brown Bread	273	2025-01-30	20	2025-01-23
33	Multigrain Bread	424	2025-02-03	20	2025-01-23
34	Pav Bun	138	2025-02-02	20	2025-01-23
35	Plain Cake	193	2025-01-30	150	2025-01-23
36	Chilli Sauce	286	2025-03-09	10	2025-01-23
37	Rasgulla	438	2025-01-26	35	2025-01-23
38	Jalebi	256	2025-01-26	35	2025-01-23
39	Soy Sauce	445	2025-03-20	10	2025-01-23
40	Water	208	2025-03-09	10	2025-01-23
41	Chocolate Cake	77	2025-01-31	150	2025-01-23
42	Vanilla Cake	433	2025-01-30	150	2025-01-23
43	Black Forest Cake	472	2025-02-04	150	2025-01-23
44	Pineapple Cake	108	2025-02-03	150	2025-01-23
45	Red Velvet Cake	438	2025-02-04	150	2025-01-23
46	Milk	258	2025-01-24	45	2025-01-23
47	Curd	276	2025-01-26	45	2025-01-23
48	Paneer	111	2025-01-25	45	2025-01-23
49	Butter	129	2025-01-26	45	2025-01-23
